Platform,Model
Amazon Bedrock,AI21 Labs Jurassic-2 Mid
Amazon Bedrock,Anthropic Claude v2
Amazon Bedrock,Anthropic Claude v3
Amazon Bedrock,Anthropic Claude v3.7
Amazon Bedrock,Cohere Embed Model v3 - English
Amazon Bedrock,Cohere Embed Model v3 - Multilingual
Amazon Bedrock,Titan Text Embedding
Amazon Bedrock,Titan Multimodal Embedding
Amazon Bedrock Converse,Anthropic Claude 3 Sonnet
Amazon Comprehend,Metadata embedding model
Amazon SageMaker,DeepSeek R1 model
Amazon SageMaker,Embedding model
Amazon Textract,Amazon Textract model
Cohere,Embedding model
DeepSeek,DeepSeek Chat model
OpenAI,Embedding model
